Destination,State/Region,Category,Best Season to Visit,Popular Activities,Average Budget,Visitor Ratings,Number of Reviews,State,Rating,Budget_Level,Preferred_Activity,Season_Preference,User_Age_Group,Preferred_Travel_Type
Hyderabad,,Beach,,,,,,Goa,3.863433770053222,Medium,Beach Activities,Winter,36-50,Family
Jaipur,,Historical,,,,,,Goa,4.268101016613439,Medium,Trekking,Winter,36-50,Family
Sikkim,,Adventure,,,,,,Karnataka,3.513971875707562,Low,Cultural Tour,Monsoon,36-50,Solo
Bangalore,,Religious,,,,,,Himachal Pradesh,3.104370115593522,High,Rafting,Summer,50+,Solo
Gwalior,,Hill Station,,,,,,Uttarakhand,3.0204677128175152,High,Temple Visit,Monsoon,36-50,Family
Kolkata,,Heritage,,,,,,Punjab,3.044319071089043,Medium,Hiking,Summer,50+,Friends
Delhi,,Heritag,,,,,,Madhya Pradesh,3.016699475027539,High,Snowboarding,Any,26-35,Friends
Agra,,Beach,,,,,,Uttarakhand,3.220710113115751,High,Photography,Any,26-35,Luxury
Coorg,,Adventure,,,,,,Goa,3.4789774291402598,High,Food Tour,Summer,18-25,Solo
Darjeeling,,Hill Station,,,,,,Madhya Pradesh,3.4424430283645986,Medium,Food Tour,Monsoon,18-25,Luxury
Ooty,,Wildlife,,,,,,Punjab,4.973593188359794,Medium,Temple Visit,Winter,50+,Luxury
Mussoorie,,Beach,,,,,,Uttarakhand,3.6120122104178867,Low,Photography,Summer,18-25,Family
,,Historical,,,,,,Maharashtra,3.254841566718798,Medium,Boating,Monsoon,26-35,Friends
Haridwar,,Wildlife,,,,,,Gujarat,4.091125088335516,Low,Palace Tour,Any,50+,Luxury
Ooty,,Beach,,,,,,Punjab,4.715914910795017,Medium,Boating,Winter,50+,Family
Coorg,,Adventure,,,,,,Gujarat,4.35612075357535,High,Beach Activities,Any,36-50,Solo
Kolkata,,Hill Station,,,,,,Goa,3.5921641782709006,Low,Snowboarding,Summer,50+,Luxury
Mumbai,,Adventure,,,,,,Madhya Pradesh,4.12323231958291,Low,Beach Activities,Any,18-25,Friends
Bangalore,,Heritage,,,,,,Himachal Pradesh,4.4297119484008185,Low,Safari,Any,26-35,Solo
Shimla,,Wildlife,,,,,,Jammu & Kashmir,4.456208984735484,Medium,Beach Activities,Summer,18-25,Family
Shimla,,Religious,,,,,,Gujarat,4.333076910595378,Low,Food Tour,Winter,26-35,Solo
Shimla,,Luxury,,,,,,Madhya Pradesh,4.741620849551236,Medium,Food Tour,Summer,36-50,Luxury
Kedarnath,,Historical,,,,,,Karnataka,4.740210916688209,Low,Snowboarding,Monsoon,26-35,Solo
Kerala,,Heritage,,,,,,Maharashtra,4.157873118814006,Medium,Beach Activities,Summer,36-50,Solo
Jaipur,,Heritage,,,,,,Maharashtra,3.8597127382224246,Low,Temple Visit,Summer,18-25,Solo
Ooty,,Wildlife,,,,,,Jammu & Kashmir,4.283140591130199,High,Temple Visit,Winter,36-50,Friends
Andaman,,Historical,,,,,,Tamil Nadu,4.6364240027409265,High,Photography,Monsoon,50+,Luxury
Coorg,,Beach,,,,,,Karnataka,3.0113042096823692,Low,Trekking,Any,50+,Family
Rishikesh,,Heritage,,,,,,Gujarat,4.983994018029702,Medium,Palace Tour,Any,26-35,Friends
Manali,,Luxury,,,,,,Gujarat,3.3657875446583985,Medium,Snowboarding,Any,18-25,Luxury
Jaisalmer,,Hill Station,,,,,,Rajasthan,3.940497971319952,Medium,Beach Activities,Any,18-25,Family
Udaipur,,Heritage,,,,,,Gujarat,4.744059469685734,High,Snowboarding,Winter,26-35,Family
Ooty,,Hill Station,,,,,,Uttar Pradesh,3.4500807980883987,High,Boating,,50+,Family
Andaman,,Adventure,,,,,,West Bengal,3.9535904478007664,High,Rafting,Winter,36-50,Luxury
Andaman,,Historical,,,,,,Uttarakhand,3.265164360362358,Medium,Photography,Summer,26-35,Family
Rishikesh,,Beach,,,,,,Rajasthan,3.790152650776385,Medium,Cultural Tour,Monsoon,36-50,Family
Kolkata,,Hill Station,,,,,,Uttarakhand,3.3542709095860053,Medium,Hiking,Monsoon,36-50,Friends
Jaipur,,Heritage,,,,,,Madhya Pradesh,3.727255497542314,Low,Boating,Any,18-25,Family
Varanasi,,Beach,,,,,,Rajasthan,3.746928433585444,Low,Photography,Any,50+,Solo
Pune,,Luxury,,,,,,Madhya Pradesh,4.986341579196665,Low,Boating,Any,36-50,Friends
Udaipur,,Beach,,,,,,Punjab,4.989626058607545,High,Beach Activities,Any,50+,Friends
Kolkata,,Hill Station,,,,,,Himachal Pradesh,3.229572557321225,High,Rafting,Summer,18-25,Luxury
Andaman,,Historical,,,,,,Gujarat,4.451937558656694,Medium,Hiking,Any,26-35,Family
Mount Abu,,Hill Station,,,,,,Gujarat,3.1034909593382025,Low,Shopping,Winter,26-35,Solo
Coorg,,Religious,,,,,,West Bengal,3.0603840306743773,Medium,Temple Visit,Monsoon,18-25,Solo
,,Religiou,,,,,,West Bengal,3.2106677884899284,Low,Temple Visit,Summer,18-25,Family
Ooty,,Beach,,,,,,Madhya Pradesh,4.930971314015868,Low,Hiking,Summer,36-50,Family
Ooty,,Wildlife,,,,,,Uttarakhand,4.881727095789395,Medium,Boating,Monsoon,18-25,Luxury
Amritsar,,Historical,,,,,,Jammu & Kashmir,3.387855640561361,Medium,Shopping,Monsoon,26-35,Solo
Agra,,Wildlife,,,,,,Madhya Pradesh,3.323344671107423,,Palace Tour,Monsoon,50+,Friends
Pune,,Religious,,,,,,Punjab,3.481070173031894,Low,Temple Visit,Summer,50+,Luxury
Sikkim,,Heritage,,,,,,Tamil Nadu,4.0310939881502845,High,Safari,Winter,50+,Luxury
Bangalore,,Adventure,,,,,,West Bengal,4.13940926407082,Medium,Boating,Winter,50+,Friends
Ooty,,Beach,,,,,,Uttar Pradesh,3.4431868608788947,Medium,Cultural Tour,Monsoon,18-25,Luxury
Rann of Kutch,,Adventure,,,,,,Gujarat,4.513245576179891,Medium,Rafting,Summer,18-25,Family
Ooty,,Religious,,,,,,Madhya Pradesh,3.6191063388053015,Medium,Trekking,Any,50+,Friends
Manali,,Hill Station,,,,,,Uttarakhand,4.844262651058821,Low,Food Tour,Summer,18-25,Friends
Kerala,,Luxury,,,,,,Maharashtra,4.313445412913461,High,Snowboarding,Monsoon,36-50,Solo
Kedarnath,,Beach,,,,,,Uttar Pradesh,3.872702388607223,Medium,Hiking,Summer,18-25,Friends
Pune,,Religious,,,,,,Goa,4.57982400340569,Low,Boating,Summer,36-50,Luxury
Leh,,Historical,,,,,,Uttarakhand,4.6358292520933295,Low,Temple Visit,Summer,36-50,Solo
Jaipur,,Heritage,,,,,,Uttarakhand,3.5809632112178873,Low,Snowboarding,Any,18-25,Luxury
Udaipur,,Luxury,,,,,,Maharashtra,3.679429087672169,Low,Cultural Tour,Monsoon,50+,Family
Manali,,Beach,,,,,,Punjab,4.871910307457207,Low,Shopping,Monsoon,36-50,Family
Varanasi,,Beach,,,,,,,3.329482076726544,Medium,Hiking,Monsoon,18-25,Solo
Coorg,,Historical,,,,,,Karnataka,3.0843008339258686,Medium,Beach Activities,Winter,26-35,Solo
Bangalore,,Wildlife,,,,,,West Bengal,3.9081106452190983,High,Food Tour,Winter,50+,Luxury
Shimla,,Hill Station,,,,,,Himachal Pradesh,4.602419800487258,Medium,Palace Tour,Monsoon,26-35,Family
Andaman,,Beach,,,,,,Uttarakhand,4.543336212621492,Low,Photography,Summer,36-50,Solo
Rann of Kutch,,Hill Station,,,,,,Goa,4.839061257825665,High,Shopping,Summer,26-35,Family
Kedarnath,,Religious,,,,,,Jammu & Kashmir,4.06640132873808,Low,Trekking,Monsoon,18-25,Family
Kerala,,Heritage,,,,,,Uttarakhand,3.2001293431330664,Low,Beach Activities,Any,50+,Family
Gwalior,,Luxury,,,,,,Maharashtra,4.177377948672032,Medium,Cultural Tour,Any,36-50,Luxury
Varanasi,,Luxury,,,,,,Rajasthan,4.556791228706423,Low,Temple Visit,Summer,18-25,Luxury
Udaipur,,Heritage,,,,,,Uttarakhand,3.186656240539653,Medium,Shopping,Summer,50+,Family
Agra,,Beach,,,,,,,3.3453148021951797,Low,Safari,Winter,36-50,Family
Varanasi,,Beach,,,,,,Madhya Pradesh,3.0245813223113416,High,Rafting,Any,36-50,Family
Chennai,,Religious,,,,,,Karnataka,4.18730515889362,Low,Hiking,Summer,36-50,Friends
Jim Corbett,,Wildlife,,,,,,Goa,4.773468783891809,Medium,Beach Activities,Summer,36-50,Friends
Chennai,,Wildlife,,,,,,Karnataka,,Low,Beach Activities,Monsoon,26-35,Luxury
Kedarnath,,Wildlife,,,,,,Goa,4.964080175181964,Medium,Trekking,Winter,26-35,Family
Darjeeling,,Hill Station,,,,,,Uttarakhand,3.1260673049995233,Medium,Rafting,Any,26-35,Friends
Pune,,Wildlife,,,,,,Rajasthan,4.8060021703029925,High,Cultural Tour,Any,36-50,Solo
Leh,,Heritage,,,,,,Himachal Pradesh,4.628136574773361,Medium,Snowboarding,Winter,26-35,Solo
Ooty,,Luxury,,,,,,,3.6284830409990096,High,Snowboarding,Summer,50+,Family
Gwalior,,Luxury,,,,,,Rajasthan,4.947053103674504,High,Rafting,Any,36-50,Friends
Bangalore,,Hill Station,,,,,,Rajasthan,3.57587549634283,Low,Shopping,Any,50+,Solo
Kerala,,Religious,,,,,,Rajasthan,4.778609447656437,High,Palace Tour,Any,50+,Luxury
Chennai,,Heritage,,,,,,Gujarat,4.761497154148379,Medium,Boating,Monsoon,26-35,Solo
Shimla,,Luxury,,,,,,Himachal Pradesh,4.5153152332059445,Medium,Palace Tour,Winter,36-50,Luxury
Prayagraj,,Heritage,,,,,,Punjab,4.1269409476257035,High,Palace Tour,Any,26-35,Solo
Sikkim,,Luxury,,,,,,Punjab,3.240005499233776,Low,Beach Activities,Winter,26-35,Solo
Bangalore,,Adventure,,,,,,Rajasthan,4.0639434689929965,High,Beach Activities,Summer,26-35,Friends
Leh,,Religious,,,,,,Tamil Nadu,3.7135925113098693,High,Food Tour,Winter,36-50,Solo
Jaipur,,Religious,,,,,,Karnataka,4.5844340663107035,Medium,Shopping,Monsoon,36-50,Solo
Rishikesh,,Historical,,,,,,Maharashtra,4.51625841299369,Low,Temple Visit,Monsoon,26-35,Luxury
Kerala,,Adventure,,,,,,Uttar Pradesh,4.8212250147452105,Low,Photography,Winter,50+,Luxury
Manali,,Hill Station,,,,,,Punjab,3.029660324863416,Low,Photography,Monsoon,50+,Solo
Mussoorie,,Luxury,,,,,,Jammu & Kashmir,4.618206433646092,Low,Photography,Any,36-50,Family
Leh,,Historical,,,,,,Goa,4.876924106249337,Medium,Cultural Tour,Monsoon,18-25,Solo
Mount Abu,,Luxury,,,,,,Himachal Pradesh,4.5786008982163,Low,Cultural Tour,Summer,26-35,Solo
Amritsar,,Luxury,,,,,,Madhya Pradesh,3.260388919740733,Low,Hiking,Winter,26-35,Friends
Chennai,,Wildlife,,,,,,Himachal Pradesh,3.1625582096817757,Low,Shopping,Winter,18-25,Solo
Hyderabad,,Wildlife,,,,,,Uttar Pradesh,3.0416904796154016,Medium,Food Tour,Summer,36-50,Solo
Udaipur,,Wildlife,,,,,,Punjab,4.2574904516561425,Medium,Photography,Summer,50+,Luxury
Udaipur,,Wildlife,,,,,,Tamil Nadu,4.259345303719774,Low,Hiking,Summer,36-50,Luxury
Kerala,,Wildlife,,,,,,Tamil Nadu,4.973827428436424,Medium,Beach Activities,Summer,50+,Luxury
Jim Corbett,,Adventure,,,,,,Goa,3.7960863482081915,High,Hiking,Any,50+,Luxury
Shimla,,Religious,,,,,,Rajasthan,3.6638125697949935,Low,Hiking,Monsoon,36-50,Solo
Jaisalmer,,Hill Station,,,,,,Maharashtra,4.248849854368785,Medium,Trekking,Monsoon,26-35,Family
Pune,,Heritage,,,,,,Madhya Pradesh,4.651217345015188,Low,Photography,Any,26-35,Friends
Kolkata,,Wildlife,,,,,,Punjab,4.873547899046004,Low,Hiking,Summer,26-35,Friends
Ooty,,Adventure,,,,,,Tamil Nadu,4.606248332358077,Medium,Hiking,Winter,50+,Family
Mumbai,,Historical,,,,,,Madhya Pradesh,3.8533479612316093,High,Photography,Winter,26-35,Family
Prayagraj,,Historical,,,,,,Uttar Pradesh,4.2698284706241285,Low,Trekking,Winter,50+,Friends
Darjeeling,,Luxury,,,,,,Goa,4.712598653432234,High,Hiking,Summer,26-35,Solo
Ooty,,Hill Station,,,,,,Uttarakhand,3.981219376623479,Medium,Temple Visit,Any,36-50,Friends
Mysore,,Historical,,,,,,Goa,3.4333732874107854,Low,Rafting,Any,18-25,Family
Leh,,Hill Station,,,,,,Madhya Pradesh,3.339446879495746,Medium,Beach Activities,Any,50+,Solo
Leh,,Hill Station,,,,,,Gujarat,3.0003154891561135,Medium,Snowboarding,Monsoon,36-50,Friends
Sikkim,,Adventure,,,,,,Tamil Nadu,4.4364759899625685,Medium,Snowboarding,Monsoon,50+,Solo
Jaipur,,Heritage,,,,,,Uttarakhand,3.222194417691981,Medium,Shopping,Monsoon,50+,Solo
Andaman,,Wildlife,,,,,,Jammu & Kashmir,3.4876781993918806,Low,Beach Activities,Monsoon,36-50,Family
Ajanta Caves,,Hill Station,,,,,,West Bengal,3.5957526630455865,High,Safari,Winter,26-35,Luxury
Darjeeling,,Adventure,,,,,,Goa,4.120759720273536,High,Rafting,Winter,50+,Friends
Mount Abu,,Luxury,,,,,,Uttar Pradesh,3.7959145545915387,Low,Snowboarding,Any,18-25,Family
Coorg,,Religious,,,,,,Uttar Pradesh,4.349347984046323,Low,Boating,Monsoon,18-25,Friends
Rann of Kutch,,Luxury,,,,,,Gujarat,3.1112773186574056,High,Photography,Any,36-50,Luxury
Udaipur,,Adventure,,,,,,Maharashtra,3.247878388528879,High,Palace Tour,Summer,18-25,Luxury
Leh,,Adventure,,,,,,Rajasthan,3.9984230070665334,Low,Beach Activities,Monsoon,36-50,Luxury
Rishikesh,,Adventure,,,,,,Goa,3.6739295756936596,Medium,Hiking,Monsoon,36-50,Luxury
Chennai,,Hill Station,,,,,,Tamil Nadu,3.5916267255027194,Low,Safa,Any,50+,Friends
Varanasi,,Adventure,,,,,,West Bengal,3.1340561580750457,High,Boating,Any,36-50,Solo
Varanasi,,Religious,,,,,,Gujarat,4.791438349496003,Medium,Photograph,Summer,36-50,Solo
Amritsar,,Hill Station,,,,,,Punjab,4.3836371722501015,High,Hiking,Any,26-35,Luxury
Mysore,,Luxury,,,,,,Tamil Nadu,3.243236313639299,Medium,Palace Tour,Monsoon,50+,Luxury
Varanasi,,Religious,,,,,,Uttar Pradesh,3.1300919154742814,High,Palace Tour,Winter,18-25,Solo
Rann of Kutch,,Historical,,,,,,Jammu & Kashmir,4.949745066862486,Medium,Temple Visit,Summer,26-35,Family
Jim Corbett,,Beach,,,,,,Tamil Nadu,4.3623451008790095,Low,Shopping,Summer,26-35,Luxury
Andaman,,Luxury,,,,,,Himachal Pradesh,3.834912142187483,Low,Photography,Monsoon,50+,Solo
Goa,,Adventure,,,,,,Karnataka,4.40346208151157,Medium,Rafting,Winter,50+,Family
Rishikesh,,Wildlife,,,,,,Uttar Pradesh,4.512663572960318,Medium,Beach Activities,Any,26-35,Solo
Rann of Kutch,,Wildlife,,,,,,Goa,4.559924404777559,Low,Safari,Any,50+,Family
Darjeeling,,Hill Station,,,,,,Jammu & Kashmir,3.9557546113061153,Low,Food Tour,Winter,50+,Friends
Haridwar,,Wildlife,,,,,,Himachal Pradesh,,Medium,Temple Visit,Winter,36-50,Family
Mount Abu,,Luxury,,,,,,Uttarakhand,3.0220561685378007,Medium,Trekking,Monsoon,50+,Luxury
Kolkata,,Hill Station,,,,,,West Bengal,4.853114230283676,Low,Boating,Any,36-50,Family
Varanasi,,Luxury,,,,,,Uttar Pradesh,4.206615756777886,High,Food Tour,Monsoon,26-35,Family
Mysore,,Adventure,,,,,,Goa,3.4063078743799364,Low,Boating,Any,26-35,Luxury
Coorg,,Heritage,,,,,,Himachal Pradesh,4.839206838842873,Medium,Beach Activities,Any,18-25,Friends
Ajanta Caves,,Heritage,,,,,,Himachal Pradesh,4.829863803540593,Medium,Safari,Winter,50+,Family
Ooty,,Religious,,,,,,Rajasthan,4.978368328732191,High,Safari,Monsoon,26-35,Friends
Coorg,,Adventure,,,,,,Himachal Pradesh,4.748113126277958,Low,Palace Tour,Winter,36-50,Solo
Delhi,,Wildlife,,,,,,West Bengal,4.9955687756401295,Medium,Food Tour,Monsoon,26-35,Solo
Leh,,Adventure,,,,,,Jammu & Kashmir,3.4893723762465454,Low,Hiking,Any,50+,Luxury
Coorg,,Beach,,,,,,Gujarat,4.684499170398468,Medium,Safari,Summer,18-25,Friends
Udaipur,,Heritage,,,,,,Jammu & Kashmir,4.646056617591529,High,Snowboarding,Summer,18-25,Luxury
Agra,,Wildlife,,,,,,Himachal Pradesh,3.4618807184414675,Low,Boating,Monsoon,26-35,Luxury
Kedarnath,,Luxury,,,,,,Goa,3.1968750980019816,Low,Palace Tour,Monsoon,18-25,Family
Chennai,,Luxury,,,,,,Uttar Pradesh,4.9588410273551995,High,Photography,Winter,50+,Solo
Agra,,Heritage,,,,,,Goa,3.5920491030412207,Medium,Beach Activities,Any,50+,Luxury
Mussoorie,,Adventure,,,,,,Madhya Pradesh,4.741783580935612,Medium,Hiking,Summer,18-25,Family
Kolkata,,Wildlife,,,,,,Gujarat,3.0082543093492076,Low,Safari,Winter,36-50,Family
Mussoorie,,Religious,,,,,,Karnataka,3.0420496144392044,High,Shopping,Monsoon,18-25,Friends
Jim Corbett,,Luxury,,,,,,Maharashtra,3.931742617392737,Low,Cultural Tour,Any,18-25,Solo
Kolkata,,Adventure,,,,,,Uttar Pradesh,3.477429367870127,Low,Photography,Winter,26-35,Friends
Mount Abu,,Religious,,,,,,Uttarakhand,4.379682566871929,Medium,Beach Activities,Winter,36-50,Friends
Mount Abu,,Historical,,,,,,Karnataka,4.131128651135908,Medium,Photography,Monsoon,18-25,Luxury
Shimla,,Wildlife,,,,,,Madhya Pradesh,3.154971594900983,Medium,Food Tour,Any,26-35,Friends
Leh,,Heritage,,,,,,West Bengal,3.325256592631434,Medium,Snowboarding,Summer,26-35,Luxury
Agra,,Historical,,,,,,Karnataka,3.7760985401168288,Medium,Rafting,Winter,26-35,Friends
Darjeeling,,Beach,,,,,,Goa,3.371208127910866,High,Trekking,Monsoon,50+,Family
Mount Abu,,Historical,,,,,,Rajasthan,4.584444694487857,Low,Photography,Winter,26-35,Solo
Chennai,,Hill Station,,,,,,Jammu & Kashmir,3.83214047110656,High,Cultural Tour,Monsoon,26-35,Solo
Kedarnath,,Heritage,,,,,,Himachal Pradesh,3.1868637336849988,Low,Hiking,Monsoon,50+,Solo
Jaisalmer,,Religious,,,,,,Uttar Pradesh,3.9686858045442497,Medium,Palace Tour,Monsoon,50+,Family
Ajanta Caves,,Adventure,,,,,,Gujarat,3.181676362122828,High,Boating,Any,26-35,Family
Prayagraj,,Historical,,,,,,Himachal Pradesh,3.257874610839634,Low,Food Tour,Summer,18-25,Friends
Leh,,Luxury,,,,,,Uttarakhand,3.4792196640564104,Medium,Food Tour,Any,36-50,Friends
Kolkata,,Wildlife,,,,,,Maharashtra,4.719055410494979,Medium,Shopping,Summer,50+,Friends
Rishikesh,,Historical,,,,,,Madhya Pradesh,4.849225064665944,High,Rafting,Monsoon,36-50,Friends
Sikkim,,Heritage,,,,,,Himachal Pradesh,4.652515458664138,High,Cultural Tour,Summer,50+,Solo
Bangalore,,Luxury,,,,,,Goa,3.6681544348356945,High,Boating,Any,26-35,Friends
Rann of Kutch,,Luxury,,,,,,Madhya Pradesh,3.5448928822176633,Medium,Trekking,Winter,50+,Family
Prayagraj,,Beach,,,,,,Uttar Pradesh,4.098311381580478,Low,Temple Visit,Any,26-35,Family
Goa,,Wildlife,,,,,,Rajasthan,4.443706321066225,Low,Temple Visit,Any,36-50,Family
Kerala,,Historical,,,,,,Uttarakhand,4.98674557632035,,Food Tour,Any,18-25,Luxury
,,Religious,,,,,,Tamil Nadu,3.2631414237578524,Low,Photography,Any,26-35,Luxury
Bangalore,,Wildlife,,,,,,Madhya Pradesh,3.0985839980476086,Medium,Photography,Any,36-50,Luxury
Mussoorie,,Historical,,,,,,West Bengal,4.388711777990542,Low,Cultural Tour,Summer,36-50,Friends
Goa,,Wildlife,,,,,,Maharashtra,4.664451567007811,Medium,Hiking,Summer,50+,Solo
Jaipur,,Adventure,,,,,,Madhya Pradesh,4.692697559732847,High,Rafting,Winter,26-35,Solo
Shimla,,Hill Station,,,,,,Goa,4.356927098154321,Low,Food Tour,Any,36-50,Friends
Ajanta Caves,,Historical,,,,,,West Bengal,4.908031608238375,Medium,Temple Visit,Any,18-25,Friends
Prayagraj,,Luxury,,,,,,Gujarat,4.022009527089174,High,Hiking,,50+,Luxury
Ooty,,Religious,,,,,,Rajasthan,4.827629596672425,High,Food Tour,Winter,50+,Family
Mount Abu,,Historical,,,,,,West Bengal,4.935624273983046,High,Temple Visit,Monsoon,36-50,Family
Jaisalmer,,Historical,,,,,,Jammu & Kashmir,4.694314914006215,High,Cultural Tour,Winter,26-35,Luxury
Mumbai,,Adventure,,,,,,Gujarat,3.6195171265172412,Low,Cultural Tour,Winter,50+,Luxury
Ajanta Caves,,Luxury,,,,,,Uttar Pradesh,3.3924313023405905,Medium,Rafting,Winter,26-35,Solo
Kolkata,,Hill Station,,,,,,West Bengal,4.096240129963637,Low,Palace Tou,Monsoon,36-50,Luxury
Haridwar,,Adventure,,,,,,Goa,3.906029500760377,Medium,Palace Tour,Summer,36-50,Family
Jaipur,,Hill Station,,,,,,Tamil Nadu,4.755516684385466,High,Food Tour,Monsoon,26-35,Family
Agra,,Hill Station,,,,,,Jammu & Kashmir,3.2000633421343077,Low,Shopping,Summer,18-25,Friends
Hyderabad,,Hill Station,,,,,,Jammu & Kashmir,3.515480122623037,High,Food Tour,Winter,50+,Solo
Ajanta Caves,,Adventure,,,,,,West Bengal,4.503597889037417,Medium,Food Tour,Monsoon,36-50,Friends
Mount Abu,,Wildlife,,,,,,Maharashtra,3.189973289954624,High,Rafting,Monsoon,18-25,Solo
Sikkim,,Historical,,,,,,Punjab,3.6415288280434,Low,Shopping,Summer,18-25,Friends
Prayagraj,,Hill Station,,,,,,Gujarat,3.7743107881079663,Low,Beach Activities,Monsoon,26-35,Solo
Pune,,Wildlife,,,,,,Maharashtra,4.2451875931253795,Medium,Food Tour,Monsoon,26-35,Luxury
Prayagraj,,Historical,,,,,,Karnataka,3.316265291438729,Medium,Palace Tour,Any,26-35,Family
Rishikesh,,Luxury,,,,,,Himachal Pradesh,4.721208980699419,Low,Palace Tour,Summer,18-25,Luxury
Manali,,Historical,,,,,,Goa,3.8950844709325487,Low,Shopping,,50+,Solo
Shimla,,Luxury,,,,,,Punjab,4.834043423761113,Low,Boating,Monsoon,26-35,Solo
Haridwar,,Religious,,,,,,Uttar Pradesh,3.935739827267863,Low,Photography,Winter,50+,Friends
Coorg,,Beach,,,,,,Jammu & Kashmir,3.550080517881467,Medium,Cultural Tour,Any,26-35,Solo
Bangalore,,Wildlife,,,,,,Goa,3.2836576573753495,Low,Shopping,Any,18-25,Luxury
Pune,,Historical,,,,,,Gujarat,3.00749018942257,Medium,Beach Activities,Winter,50+,Solo
Andaman,,Luxury,,,,,,Rajasthan,4.064314969969671,Low,Temple Visit,Winter,50+,Solo
Jaisalmer,,Beach,,,,,,Himachal Pradesh,3.214313393853847,Low,Palace Tour,Winter,18-25,Friends
Andaman,,Hill Station,,,,,,Tamil Nadu,3.7834555272623565,High,Trekking,,50+,Solo
Ooty,,Beach,,,,,,Himachal Pradesh,4.178543522474174,High,Trekking,Any,18-25,Friends
Mysore,,Beach,,,,,,Goa,3.5513717938054006,Low,Palace Tour,Monsoon,18-25,Family
Jaipur,,Hill Station,,,,,,Uttar Pradesh,3.3504485847322307,Medium,Photography,Monsoon,36-50,Friends
Leh,,Wildlife,,,,,,Jammu & Kashmir,4.549443245218683,Low,Trekking,Winter,26-35,Solo
Amritsar,,Historical,,,,,,Uttarakhand,4.893582344563241,High,Safari,Summer,36-50,Family
Kerala,,Hill Station,,,,,,Madhya Pradesh,3.200880835723932,Low,Beach Activities,Winter,18-25,Solo
Sikkim,,Religious,,,,,,Uttarakhand,3.3111806487700157,High,Hiking,Monsoon,18-25,Friends
Bangalore,,Heritage,,,,,,Goa,4.920025314505438,Low,Cultural Tour,Summer,50+,Luxury
Leh,,Historical,,,,,,West Bengal,3.0755684436244923,Low,Palace Tour,Winter,18-25,Family
Chennai,,Adventure,,,,,,Maharashtra,4.955264673100944,Medium,Palace Tour,Summer,18-25,Luxury
Rann of Kutch,,Hill Station,,,,,,Madhya Pradesh,3.0092889661699775,High,Temple Visit,Winter,18-25,Luxury
Bangalore,,Hill Station,,,,,,Gujarat,4.747337311302663,High,Beach Activities,Any,26-35,Family
Rishikesh,,Beach,,,,,,Himachal Pradesh,3.614650361975499,High,Food Tour,Monsoon,36-50,Luxury
Rann of Kutch,,Religious,,,,,,Uttar Pradesh,4.877177716354593,Medium,Photography,Winter,36-50,Luxury
Udaipur,,Luxury,,,,,,Madhya Pradesh,3.633890577271171,Low,Food Tour,Summer,26-35,Luxury
Darjeeling,,Luxury,,,,,,Gujarat,4.308612643068112,Medium,Snowboarding,Monsoon,26-35,Luxury
Kolkata,,Beach,,,,,,Himachal Pradesh,3.1600651395318735,Low,Boating,Winter,26-35,Family
Amritsar,,Wildlife,,,,,,Rajasthan,3.484659622907478,Medium,Safari,Winter,36-50,Solo
Leh,,Historical,,,,,,Uttarakhand,4.547358692958501,Medium,Rafting,Winter,36-50,Luxury
Darjeeling,,Hill Station,,,,,,Karnataka,4.057371707357639,High,Rafting,Winter,18-25,Family
Prayagraj,,Historical,,,,,,Jammu & Kashmir,4.85593812357409,Medium,Snowboarding,Any,36-50,Family
Jaisalmer,,Historical,,,,,,Gujarat,3.8575028166827083,Low,Cultural Tour,Monsoon,50+,Family
Jaipur,,Hill Station,,,,,,Rajasthan,4.739624731627846,Medium,Rafting,Any,36-50,Family
Pune,,Beach,,,,,,Karnataka,3.897910874956475,Medium,Shopping,Monsoon,26-35,Friends
Amritsar,,Historical,,,,,,Jammu & Kashmir,4.95849655740397,Low,Food Tour,Winter,36-50,Solo
Chennai,,Hill Station,,,,,,Himachal Pradesh,4.919668762797754,High,Photography,Monsoon,18-25,Solo
Kolkata,,Wildlife,,,,,,Gujarat,3.6582734111121606,Low,Trekking,Summer,36-50,Luxury
Bangalore,,Historical,,,,,,Uttar Pradesh,4.771847340833606,Low,Boating,Monsoon,26-35,Family
Leh,,Heritage,,,,,,Madhya Pradesh,4.6952227484312985,Low,Shopping,Summer,50+,Friends
Mumbai,,Adventure,,,,,,Uttarakhand,3.4213607946551257,Medium,Hiking,Summer,26-35,Family
Rishikesh,,Adventure,,,,,,Himachal Pradesh,4.24858080156654,Medium,Hiking,Any,50+,Luxury
Kolkata,,Adventure,,,,,,Madhya Pradesh,3.1453646311796297,Low,Shopping,Monsoon,18-25,Solo
Coorg,,Heritage,,,,,,Uttarakhand,4.673421441166923,Low,Beach Activities,Winter,18-25,Luxury
Mussoorie,,Hill Station,,,,,,Goa,3.349091767006993,High,Hiking,Monsoon,36-50,Luxury
Varanasi,,Beach,,,,,,Madhya Pradesh,3.141629402771529,Medium,Food Tour,Any,18-25,Luxury
Kedarnath,,Luxury,,,,,,Karnataka,3.8004381910776224,Medium,Temple Visit,Summer,18-25,Luxury
Haridwar,,Religious,,,,,,Tamil Nadu,4.153844277199287,Medium,Beach Activities,Summer,26-35,Luxury
Jaisalmer,,Hill Station,,,,,,Karnataka,4.709833917119542,Medium,Hiking,Any,26-35,Luxury
