Budget_Level,User_Age_Group,Destination,State,Category,Rating,Preferred_Activity,Season_Preference,Preferred_Travel_Type
Medium,18-25,Manali,Himachal Pradesh,Heritage,4.9,Wildlife,Winter,Solo
High,18-25,Mussoorie,Uttarakhand,Urban,1.6,Wildlife,Winter,Group
Low,50+,Andaman,Andaman & Nicobar,Hill Station,3.5,Pilgrimage,Autumn,Family
High,50+,Udaipur,Rajasthan,Adventure,4.1,Trekking,Winter,Solo
,50+,Hyderabad,Telangana,Spiritual,2.4,Sightseeing,Winter,Group
Medium,50+,Darjeeling,West Bengal,Heritage,2.3,Pilgrimage,Monsoon,Group
Low,36-50,Mussoorie,Uttarakhand,Heritage,1.7,Trekking,Spring,Couple
Medium,26-35,Andaman,Andaman & Nicobar,Hill Station,1.8,Sightseeing,Monsoon,Solo
Medium,50+,Kerala,Kerala,Spiritual,3.8,Relaxation,Monsoon,Solo
High,50+,Goa,Goa,Adventure,3.3,Trekking,Monsoon,Solo
Medium,18-25,Shimla,Himachal Pradesh,Heritage,1.6,Pilgrimage,Spring,Family
Medium,36-50,Hyderabad,Telangana,Beach,4.9,Trekking,Monsoon,Solo
High,36-50,Shimla,Himachal Pradesh,Hill Station,3.8,Relaxation,Autumn,Family
High,18-25,Kerala,Kerala,Heritage,3.3,Pilgrimage,Winter,Couple
High,26-35,Udaipur,Rajasthan,Heritage,2.5,Wildlife,Monsoon,Solo
Low,36-50,Darjeeling,West Bengal,Spiritual,3.8,Pilgrimage,Spring,Couple
High,18-25,Hyderabad,Telangana,Hill Station,2.8,Sightseeing,Winter,Friends
Medium,26-35,Mumbai,Maharashtra,Hill Station,4.0,Relaxation,Winter,Group
Low,18-25,Manali,Himachal Pradesh,Hill Station,3.9,Pilgrimage,Winter,Couple
Low,50+,Leh,Ladakh,Adventure,1.8,Relaxation,Spring,Couple
Low,36-50,Shimla,Himachal Pradesh,Spiritual,4.7,Pilgrimage,Spring,Couple
Medium,26-35,Kolkata,West Bengal,Urban,3.2,Sightseeing,Autumn,Group
Low,26-35,Darjeeling,West Bengal,Hill Station,2.9,Trekking,Spring,Family
Medium,26-35,Udaipur,Rajasthan,Urban,4.8,Sightseeing,Spring,Friends
High,18-25,Chennai,Tamil Nadu,Urban,3.0,Trekking,Spring,Group
High,26-35,Andaman,Andaman & Nicobar,Heritage,4.0,Trekking,Spring,Solo
Medium,36-50,Sikkim,Sikkim,Heritage,3.8,Wildlife,Winter,Couple
Low,50+,Shimla,Himachal Pradesh,Adventure,2.1,Sightseeing,Winter,Solo
High,18-25,Goa,Goa,Hill Station,5.0,Wildlife,Summer,Solo
Low,18-25,Agra,Uttar Pradesh,Beach,3.1,Pilgrimage,Autumn,Couple
High,18-25,Goa,Goa,Spiritual,2.9,Relaxation,Monsoon,Couple
High,50+,Andaman,Andaman & Nicobar,Heritage,4.7,Sightseeing,Monsoon,Friends
Low,50+,Chennai,Tamil Nadu,Heritage,3.4,Water Sports,Autumn,Couple
High,50+,Mysore,Karnataka,Beach,5.9,Water Sports,Winter,Family
Low,18-25,Darjeeling,West Bengal,Adventure,2.3,Water Sports,Autumn,Solo
Medium,36-50,Manali,Himachal Pradesh,Hill Station,2.1,Water Sports,Monsoon,Couple
Medium,26-35,Delhi,Delhi,Urban,1.7,Relaxation,Autumn,Family
Low,36-50,Kolkata,West Bengal,Heritage,4.6,Relaxation,Spring,Couple
Low,18-25,Kolkata,West Bengal,Urban,2.2,Pilgrimage,Winter,Family
Medium,36-50,Jaipur,Rajasthan,Hill Station,2.6,Pilgrimage,Summer,Group
High,50+,Mumbai,Maharashtra,Beach,2.5,Pilgrimage,Monsoon,Couple
Medium,36-50,Mysore,Karnataka,Heritage,2.6,Water Sports,Monsoon,Family
Low,36-50,Goa,Goa,Spiritual,3.8,Pilgrimage,Winter,Solo
High,,Mysore,Karnataka,Beach,4.8,Water Sports,Winter,Couple
Low,50+,Delhi,Delhi,Beach,2.7,Water Sports,Winter,Friends
High,26-35,Ooty,Tamil Nadu,Adventure,2.9,Relaxation,Winter,Friends
Medium,50+,Darjeeling,West Bengal,Hill Station,4.2,Wildlife,Autumn,Couple
Low,26-35,Jaipur,Rajasthan,Heritage,3.0,Trekking,Spring,Family
Low,50+,Hyderabad,Telangana,Hill Station,4.7,Relaxation,Autumn,Group
Medium,36-50,Leh,Ladakh,Spiritual,3.3,Sightseeing,Autumn,Solo
Low,36-50,Jaipur,Rajasthan,Hill Station,2.7,Trekking,Winter,Group
High,26-35,Chennai,Tamil Nadu,Adventure,4.9,Pilgrimage,Spring,Family
High,18-25,Hyderabad,Telangana,Beach,3.0,Pilgrimage,Monsoon,Friends
Low,26-35,Bangalore,Karnataka,Urban,2.3,Wildlife,Spring,Couple
Low,36-50,Rishikesh,Uttarakhand,Spiritual,2.1,Trekking,Autumn,Group
High,18-25,Sikkim,Sikkim,Heritage,5.0,Water Sports,Spring,Couple
Low,18-25,Andaman,Andaman & Nicobar,Hill Station,4.1,Water Sports,Summer,Group
High,26-35,Shimla,Himachal Pradesh,Urban,2.9,Relaxation,Autumn,Solo
Low,18-25,Rishikesh,Uttarakhand,Heritage,4.4,Relaxation,Winter,Group
High,,Mysore,Karnataka,Hill Station,3.4,Water Sports,Autumn,Solo
Low,26-35,Kerala,Kerala,Urban,2.6,Water Sports,Spring,Family
Low,18-25,Hyderabad,Telangana,Adventure,4.1,Pilgrimage,Autumn,Friends
Low,50+,Mysore,Karnataka,Beach,4.1,Sightseeing,Summer,Couple
Low,50+,Mussoorie,Uttarakhand,Heritage,3.3,Sightseeing,Autumn,Group
Medium,50+,Sikkim,Sikkim,Adventure,1.7,Pilgrimage,Autumn,Family
Low,36-50,Agra,Uttar Pradesh,Adventure,1.8,Trekking,Summer,Group
Low,36-50,Chennai,Tamil Nadu,Beach,4.3,Pilgrimage,Monsoon,Friends
Low,50+,Andaman,Andaman & Nicobar,Adventure,4.4,Trekking,Spring,Couple
Medium,26-35,Manali,Himachal Pradesh,Urban,3.9,Sightseeing,Monsoon,Solo
Medium,50+,Mussoorie,Uttarakhand,Urban,4.4,Trekking,Autumn,Friends
High,18-25,Andaman,Andaman & Nicobar,Beach,4.0,Trekking,Spring,Family
Medium,26-35,Ooty,Tamil Nadu,Beach,4.6,Sightseeing,Monsoon,Group
Medium,18-25,Manali,Himachal Pradesh,Beach,2.0,Pilgrimage,Monsoon,Couple
Low,36-50,Shimla,Himachal Pradesh,Spiritual,2.9,Pilgrimage,Monsoon,Solo
Low,26-35,Kerala,Kerala,Adventure,3.1,Water Sports,Monsoon,Solo
Low,26-35,Manali,Himachal Pradesh,Hill Station,2.5,Trekking,Spring,Couple
Low,18-25,Varanasi,Uttar Pradesh,Spiritual,4.0,Trekking,Summer,Solo
Medium,18-25,Mussoorie,Uttarakhand,Beach,4.7,Wildlife,Summer,Couple
Medium,,Bangalore,Karnataka,Urban,2.9,Relaxation,Summer,Group
High,50+,Ooty,Tamil Nadu,Spiritual,4.8,Water Sports,Spring,Family
High,50+,Agra,Uttar Pradesh,Hill Station,3.3,Sightseeing,Autumn,Family
Low,26-35,Shimla,Himachal Pradesh,Urban,3.3,Wildlife,Winter,Friends
Medium,50+,Bangalore,Karnataka,Beach,3.6,Trekking,Winter,Couple
Low,36-50,Jaipur,Rajasthan,Adventure,2.4,Water Sports,Summer,Group
Medium,36-50,Mussoorie,Uttarakhand,Heritage,2.8,Water Sports,Monsoon,Group
Medium,18-25,Sikkim,Sikkim,Spiritual,3.4,Trekking,Summer,Group
Medium,36-50,Shimla,Himachal Pradesh,Spiritual,4.8,Wildlife,Monsoon,Solo
Low,18-25,Kerala,Kerala,Beach,3.7,Wildlife,Monsoon,Family
High,50+,Andaman,Andaman & Nicobar,Heritage,2.7,Relaxation,Spring,Couple
Low,36-50,Kolkata,West Bengal,Hill Station,1.5,Water Sports,Monsoon,Couple
High,18-25,Andaman,Andaman & Nicobar,Beach,4.9,Sightseeing,Monsoon,Friends
Medium,26-35,Mysore,Karnataka,Hill Station,3.2,Wildlife,Autumn,Family
High,26-35,Varanasi,Uttar Pradesh,Urban,4.8,Trekking,Monsoon,Group
Medium,26-35,Jaipur,Rajasthan,Beach,3.4,Pilgrimage,Monsoon,Couple
High,36-50,Kolkata,West Bengal,Spiritual,3.6,Water Sports,Monsoon,Family
High,36-50,Andaman,Andaman & Nicobar,Beach,4.0,Relaxation,Autumn,Solo
Low,18-25,Bangalore,Karnataka,Spiritual,2.6,Trekking,Winter,Solo
Medium,36-50,Kolkata,West Bengal,Spiritual,3.9,Relaxation,Spring,Solo
Low,26-35,Ooty,Tamil Nadu,Adventure,3.3,Wildlife,Summer,Friends
High,18-25,Delhi,Delhi,Hill Station,3.9,Wildlife,Winter,Solo
High,50+,Hyderabad,Telangana,Spiritual,4.4,Wildlife,Spring,Group
,26-35,Mussoorie,Uttarakhand,Beach,2.1,Sightseeing,Autumn,Solo
Low,18-25,Mysore,Karnataka,Spiritual,3.6,Wildlife,Winter,Family
High,18-25,Rishikesh,Uttarakhand,Spiritual,1.7,Sightseeing,Summer,Family
High,26-35,Mysore,Karnataka,Beach,1.9,Trekking,Monsoon,Solo
High,18-25,Agra,Uttar Pradesh,Beach,3.9,Sightseeing,Spring,Solo
High,18-25,Darjeeling,West Bengal,Beach,1.7,Sightseeing,Summer,Family
Medium,50+,Varanasi,Uttar Pradesh,Heritage,3.6,Sightseeing,Autumn,Group
Medium,18-25,Udaipur,Rajasthan,Beach,2.3,Wildlife,Winter,Solo
High,36-50,Hyderabad,Telangana,Adventure,2.6,Relaxation,Spring,Friends
High,26-35,Kolkata,West Bengal,Heritage,2.0,Wildlife,Monsoon,Family
High,26-35,Darjeeling,West Bengal,Adventure,2.4,Wildlife,Monsoon,Friends
Medium,26-35,Delhi,Delhi,Hill Station,4.4,Sightseeing,Summer,Solo
Low,26-35,Leh,Ladakh,Spiritual,3.7,Wildlife,Winter,Solo
Low,36-50,Kolkata,West Bengal,Heritage,4.8,Trekking,Autumn,Group
Low,26-35,Mumbai,Maharashtra,Spiritual,1.7,Pilgrimage,Monsoon,Solo
Low,36-50,Jaipur,Rajasthan,Heritage,4.3,Water Sports,Monsoon,Family
High,18-25,Rishikesh,Uttarakhand,Hill Station,3.9,Wildlife,Autumn,Group
Medium,18-25,Leh,Ladakh,Hill Station,2.4,Wildlife,Winter,Group
Low,26-35,Mussoorie,Uttarakhand,Spiritual,4.1,Water Sports,Spring,Solo
Medium,26-35,Andaman,Andaman & Nicobar,Urban,4.0,Wildlife,Spring,Couple
Medium,18-25,Udaipur,Rajasthan,Beach,3.1,Relaxation,Autumn,Friends
High,18-25,Kerala,Kerala,Adventure,3.9,Relaxation,Monsoon,Couple
Medium,26-35,Leh,Ladakh,Heritage,3.1,Water Sports,Winter,Group
Low,50+,Varanasi,Uttar Pradesh,Adventure,2.7,Pilgrimage,Monsoon,Couple
Medium,18-25,Mussoorie,Uttarakhand,Adventure,3.1,Sightseeing,Monsoon,Solo
Low,36-50,Chennai,Tamil Nadu,Heritage,4.6,Wildlife,Winter,Group
Low,26-35,Udaipur,Rajasthan,Hill Station,2.8,Wildlife,Monsoon,Family
Medium,18-25,Udaipur,Rajasthan,Beach,2.9,Pilgrimage,Summer,Couple
High,18-25,Manali,Himachal Pradesh,Urban,3.6,Water Sports,Summer,Friends
High,50+,Kolkata,West Bengal,Hill Station,4.1,Wildlife,Winter,Couple
High,26-35,Ooty,Tamil Nadu,Heritage,4.1,Wildlife,Spring,Family
Medium,36-50,Agra,Uttar Pradesh,Urban,1.6,Relaxation,Winter,Friends
Medium,50+,Varanasi,Uttar Pradesh,Spiritual,3.9,Trekking,Spring,Group
Low,26-35,Sikkim,Sikkim,Hill Station,3.1,Relaxation,Monsoon,Friends
Medium,26-35,Mysore,Karnataka,Heritage,3.3,Pilgrimage,Monsoon,Solo
Medium,18-25,Rishikesh,Uttarakhand,Spiritual,3.5,Trekking,Autumn,Friends
Medium,26-35,Agra,Uttar Pradesh,Heritage,4.1,Relaxation,Summer,Friends
Medium,26-35,Mysore,Karnataka,Urban,4.4,Wildlife,Autumn,Couple
Low,18-25,Varanasi,Uttar Pradesh,Urban,3.8,Pilgrimage,Winter,Group
Medium,36-50,Hyderabad,Telangana,Beach,3.5,Wildlife,Winter,Group
High,36-50,Rishikesh,Uttarakhand,Heritage,2.8,Sightseeing,Winter,Couple
High,50+,Rishikesh,Uttarakhand,Heritage,2.0,Pilgrimage,Autumn,Friends
Medium,18-25,Shimla,Himachal Pradesh,Urban,4.9,Sightseeing,Summer,Solo
High,50+,Ooty,Tamil Nadu,Beach,3.1,Sightseeing,Spring,Family
High,18-25,Shimla,Himachal Pradesh,Adventure,3.5,Sightseeing,Monsoon,Group
High,50+,Varanasi,Uttar Pradesh,Spiritual,4.1,Relaxation,Summer,Friends
Low,26-35,Bangalore,Karnataka,Urban,1.7,Wildlife,Monsoon,Solo
Low,,Manali,Himachal Pradesh,Adventure,4.5,Trekking,Summer,Friends
Medium,36-50,Hyderabad,Telangana,Urban,4.3,Pilgrimage,Winter,Friends
,26-35,Ooty,Tamil Nadu,Hill Station,4.2,Wildlife,Autumn,Solo
Medium,36-50,Sikkim,Sikkim,Beach,1.6,Water Sports,Winter,Group
Low,36-50,Mumbai,Maharashtra,Heritage,3.3,Water Sports,Summer,Family
High,50+,Darjeeling,West Bengal,Hill Station,1.7,Relaxation,Winter,Group
High,18-25,Kolkata,West Bengal,Beach,3.4,Wildlife,Winter,Family
Low,18-25,Darjeeling,West Bengal,Beach,4.0,Relaxation,Monsoon,Couple
High,50+,Delhi,Delhi,Beach,1.9,Pilgrimage,Autumn,Group
Medium,26-35,Mussoorie,Uttarakhand,Heritage,3.9,Pilgrimage,Spring,Group
Low,36-50,Mussoorie,Uttarakhand,Adventure,3.1,Wildlife,Autumn,Couple
High,26-35,Jaipur,Rajasthan,Hill Station,4.3,Wildlife,Monsoon,Solo
High,18-25,Jaipur,Rajasthan,Beach,3.4,Trekking,Monsoon,Friends
High,36-50,Kolkata,West Bengal,Spiritual,2.7,Sightseeing,Monsoon,Solo
High,36-50,Sikkim,Sikkim,Heritage,2.7,Water Sports,Spring,Solo
Low,36-50,Mysore,Karnataka,Adventure,4.6,Sightseeing,Monsoon,Friends
Medium,36-50,Mussoorie,Uttarakhand,Spiritual,3.1,Pilgrimage,Spring,Couple
High,18-25,Goa,Goa,Spiritual,2.9,Wildlife,Monsoon,Family
High,36-50,Bangalore,Karnataka,Urban,1.6,Sightseeing,Monsoon,Family
High,36-50,Shimla,Himachal Pradesh,Adventure,2.8,Sightseeing,Spring,Friends
Low,26-35,Kolkata,West Bengal,Heritage,4.5,Sightseeing,Spring,Family
High,26-35,Varanasi,Uttar Pradesh,Spiritual,4.2,Relaxation,Spring,Solo
Low,50+,Agra,Uttar Pradesh,Beach,2.3,Wildlife,Monsoon,Group
High,18-25,Shimla,Himachal Pradesh,Urban,2.9,Sightseeing,Monsoon,Solo
Medium,50+,Chennai,Tamil Nadu,Beach,2.2,Trekking,Summer,Friends
Medium,50+,Varanasi,Uttar Pradesh,Heritage,4.8,Relaxation,Autumn,Solo
Low,26-35,Kolkata,West Bengal,Beach,3.6,Trekking,Monsoon,Couple
Medium,18-25,Udaipur,Rajasthan,Spiritual,4.1,Pilgrimage,Winter,Couple
Low,50+,Kerala,Kerala,Heritage,4.0,Water Sports,Monsoon,Friends
Medium,26-35,Varanasi,Uttar Pradesh,Adventure,4.6,Wildlife,Autumn,Group
Low,26-35,Agra,Uttar Pradesh,Heritage,4.8,Pilgrimage,Autumn,Friends
Medium,50+,Mysore,Karnataka,Beach,1.6,Wildlife,Autumn,Group
Medium,50+,Kerala,Kerala,Beach,4.9,Water Sports,Spring,Couple
Medium,18-25,Mumbai,Maharashtra,Hill Station,4.5,Relaxation,Winter,Friends
High,50+,Rishikesh,Uttarakhand,Adventure,2.8,Relaxation,Autumn,Solo
High,26-35,Kolkata,West Bengal,Heritage,4.4,Trekking,Autumn,Friends
Low,36-50,Shimla,Himachal Pradesh,Hill Station,4.1,Water Sports,Winter,Friends
Medium,36-50,Mumbai,Maharashtra,Spiritual,4.3,Relaxation,Spring,Couple
Low,50+,Mussoorie,Uttarakhand,Urban,2.3,Wildlife,Spring,Family
High,18-25,Manali,Himachal Pradesh,Heritage,3.8,Wildlife,Autumn,Couple
High,26-35,Hyderabad,Telangana,Adventure,1.6,Pilgrimage,Winter,Friends
Medium,36-50,Ooty,Tamil Nadu,Hill Station,4.5,Water Sports,Spring,Couple
Low,50+,Agra,Uttar Pradesh,Heritage,4.8,Pilgrimage,Autumn,Family
Medium,50+,Hyderabad,Telangana,Beach,3.8,Pilgrimage,Monsoon,Solo
Medium,26-35,Leh,Ladakh,Heritage,3.3,Relaxation,Winter,Solo
High,50+,Mysore,Karnataka,Spiritual,4.0,Water Sports,Summer,Group
Medium,,Goa,Goa,Heritage,2.6,Sightseeing,Summer,Group
High,36-50,Jaipur,Rajasthan,Hill Station,3.7,Trekking,Autumn,Couple
High,18-25,Varanasi,Uttar Pradesh,Urban,4.0,Sightseeing,Monsoon,Friends
Medium,26-35,Sikkim,Sikkim,Adventure,2.0,Wildlife,Autumn,Family
Medium,18-25,Delhi,Delhi,Hill Station,2.0,Water Sports,Spring,Group
High,18-25,Leh,Ladakh,Adventure,4.0,Pilgrimage,Autumn,Family
Low,50+,Sikkim,Sikkim,Beach,3.0,Pilgrimage,Autumn,Friends
Low,50+,Agra,Uttar Pradesh,Hill Station,4.6,Water Sports,Summer,Solo
Medium,36-50,Mumbai,Maharashtra,Spiritual,2.6,Wildlife,Winter,Friends
High,36-50,Andaman,Andaman & Nicobar,Urban,1.6,Sightseeing,Summer,Couple
High,50+,Sikkim,Sikkim,Hill Station,3.8,Water Sports,Monsoon,Solo
,36-50,Mumbai,Maharashtra,Hill Station,3.9,Sightseeing,Autumn,Family
High,36-50,Manali,Himachal Pradesh,Beach,3.4,Sightseeing,Spring,Family
High,50+,Mysore,Karnataka,Hill Station,3.9,Pilgrimage,Summer,Friends
High,50+,Ooty,Tamil Nadu,Adventure,3.3,Water Sports,Spring,Group
Low,50+,Leh,Ladakh,Heritage,3.9,Sightseeing,Summer,Friends
Medium,26-35,Andaman,Andaman & Nicobar,Urban,1.7,Relaxation,Monsoon,Group
Low,50+,Delhi,Delhi,Spiritual,2.8,Trekking,Autumn,Family
Low,18-25,Udaipur,Rajasthan,Hill Station,2.2,Trekking,Autumn,Group
Medium,50+,Manali,Himachal Pradesh,Spiritual,1.8,Sightseeing,Autumn,Couple
,50+,Agra,Uttar Pradesh,Adventure,2.3,Pilgrimage,Autumn,Family
Medium,26-35,Leh,Ladakh,Hill Station,2.2,Relaxation,Autumn,Friends
High,26-35,Leh,Ladakh,Spiritual,4.9,Pilgrimage,Spring,Friends
Medium,50+,Mussoorie,Uttarakhand,Heritage,2.5,Water Sports,Monsoon,Group
Medium,50+,Kerala,Kerala,Adventure,2.3,Wildlife,Monsoon,Group
Medium,18-25,Mussoorie,Uttarakhand,Heritage,4.4,Pilgrimage,Monsoon,Family
High,50+,Agra,Uttar Pradesh,Urban,3.0,Pilgrimage,Monsoon,Group
Low,50+,Udaipur,Rajasthan,Beach,3.0,Relaxation,Summer,Group
Medium,50+,Ooty,Tamil Nadu,Spiritual,3.1,Sightseeing,Monsoon,Friends
Low,26-35,Sikkim,Sikkim,Adventure,3.0,Sightseeing,Summer,Group
High,50+,Rishikesh,Uttarakhand,Adventure,2.6,Sightseeing,Spring,Couple
Low,18-25,Kerala,Kerala,Urban,2.5,Pilgrimage,Summer,Family
Medium,50+,Delhi,Delhi,Urban,4.6,Pilgrimage,Monsoon,Group
Low,50+,Chennai,Tamil Nadu,Adventure,2.1,Trekking,Spring,Family
Low,50+,Goa,Goa,Urban,2.1,Relaxation,Winter,Family
High,36-50,Kolkata,West Bengal,Heritage,3.5,Water Sports,Summer,Family
High,18-25,Manali,Himachal Pradesh,Adventure,2.7,Pilgrimage,Autumn,Couple
Medium,26-35,Rishikesh,Uttarakhand,Hill Station,3.0,Pilgrimage,Spring,Group
High,26-35,Jaipur,Rajasthan,Hill Station,4.3,Pilgrimage,Winter,Family
Medium,36-50,Andaman,Andaman & Nicobar,Adventure,4.7,Trekking,Monsoon,Family
Medium,36-50,Bangalore,Karnataka,Heritage,4.3,Relaxation,Winter,Group
Low,50+,Mysore,Karnataka,Spiritual,2.3,Sightseeing,Monsoon,Group
Medium,50+,Andaman,Andaman & Nicobar,Hill Station,4.9,Water Sports,Spring,Friends
High,26-35,Manali,Himachal Pradesh,Beach,2.8,Sightseeing,Summer,Solo
High,36-50,Udaipur,Rajasthan,Urban,2.1,Water Sports,Autumn,Group
High,50+,Kolkata,West Bengal,Adventure,3.2,Wildlife,Winter,Solo
High,26-35,Andaman,Andaman & Nicobar,Heritage,4.0,Trekking,Winter,Group
Low,26-35,Andaman,Andaman & Nicobar,Urban,1.8,Wildlife,Summer,Group
Medium,50+,Kerala,Kerala,Beach,3.7,Trekking,Monsoon,Friends
High,36-50,Mussoorie,Uttarakhand,Hill Station,4.5,Trekking,Autumn,Family
High,50+,Shimla,Himachal Pradesh,Heritage,2.4,Pilgrimage,Winter,Friends
High,26-35,Jaipur,Rajasthan,Spiritual,3.9,Trekking,Monsoon,Solo
High,36-50,Hyderabad,Telangana,Heritage,2.9,Wildlife,Monsoon,Solo
Medium,18-25,Shimla,Himachal Pradesh,Urban,2.9,Pilgrimage,Monsoon,Friends
Medium,26-35,Kolkata,West Bengal,Heritage,2.5,Relaxation,Summer,Family
High,26-35,Delhi,Delhi,Heritage,3.7,Pilgrimage,Monsoon,Friends
Medium,36-50,Rishikesh,Uttarakhand,Adventure,2.8,Wildlife,Spring,Couple
Low,18-25,Shimla,Himachal Pradesh,Heritage,4.4,Relaxation,Winter,Couple
High,18-25,Udaipur,Rajasthan,Beach,4.9,Wildlife,Summer,Couple
Low,50+,Agra,Uttar Pradesh,Hill Station,4.8,Sightseeing,Spring,Family
Low,50+,Jaipur,Rajasthan,Spiritual,2.1,Pilgrimage,Summer,Family
High,50+,Delhi,Delhi,Urban,1.5,Trekking,Autumn,Solo
Medium,50+,Kerala,Kerala,Hill Station,3.0,Wildlife,Winter,Solo
Low,26-35,Hyderabad,Telangana,Hill Station,4.1,Sightseeing,Spring,Group
Low,50+,Delhi,Delhi,Adventure,4.9,Relaxation,Monsoon,Friends
Low,36-50,Chennai,Tamil Nadu,Hill Station,4.2,Pilgrimage,Winter,Friends
Medium,36-50,Shimla,Himachal Pradesh,Spiritual,3.5,Trekking,Spring,Solo
High,18-25,Mumbai,Maharashtra,Spiritual,1.6,Sightseeing,Summer,Solo
High,26-35,Udaipur,Rajasthan,Heritage,4.4,Water Sports,Monsoon,Solo
Medium,36-50,Agra,Uttar Pradesh,Urban,2.1,Trekking,Summer,Friends
Low,26-35,Mumbai,Maharashtra,Beach,1.7,Sightseeing,Summer,Solo
Medium,36-50,Leh,Ladakh,Urban,4.5,Relaxation,Autumn,Friends
High,18-25,Hyderabad,Telangana,Heritage,3.5,Water Sports,Autumn,Group
Medium,26-35,Bangalore,Karnataka,Beach,1.9,Water Sports,Summer,Solo
Low,50+,Udaipur,Rajasthan,Adventure,2.9,Sightseeing,Spring,Couple
Medium,26-35,Mumbai,Maharashtra,Beach,1.8,Wildlife,Winter,Family
Medium,18-25,Kolkata,West Bengal,Beach,3.7,Relaxation,Monsoon,Friends
High,36-50,Varanasi,Uttar Pradesh,Hill Station,2.5,Wildlife,Summer,Group
High,36-50,Mumbai,Maharashtra,Adventure,4.5,Water Sports,Spring,Friends
Low,50+,Chennai,Tamil Nadu,Adventure,2.8,Sightseeing,Monsoon,Solo
Low,50+,Darjeeling,West Bengal,Hill Station,3.2,Relaxation,Winter,Family
High,18-25,Manali,Himachal Pradesh,Heritage,1.7,Sightseeing,Winter,Family
Medium,50+,Jaipur,Rajasthan,Hill Station,2.5,Trekking,Winter,Group
High,26-35,Mumbai,Maharashtra,Beach,3.9,Wildlife,Autumn,Couple
Medium,50+,Andaman,Andaman & Nicobar,Spiritual,4.1,Trekking,Summer,Solo
High,36-50,Mussoorie,Uttarakhand,Spiritual,2.3,Wildlife,Summer,Couple
High,18-25,Chennai,Tamil Nadu,Urban,3.3,Sightseeing,Monsoon,Friends
Low,50+,Hyderabad,Telangana,Heritage,4.4,Water Sports,Summer,Family
Low,36-50,Rishikesh,Uttarakhand,Beach,2.8,Wildlife,Summer,Family
Medium,18-25,Mysore,Karnataka,Urban,2.0,Sightseeing,Monsoon,Group
High,26-35,Agra,Uttar Pradesh,Spiritual,3.0,Trekking,Summer,Group
High,36-50,Leh,Ladakh,Hill Station,3.6,Water Sports,Monsoon,Family
Medium,36-50,Manali,Himachal Pradesh,Urban,1.5,Sightseeing,Summer,Solo
High,26-35,Kolkata,West Bengal,Spiritual,2.7,Relaxation,Monsoon,Couple
High,50+,Varanasi,Uttar Pradesh,Hill Station,3.6,Pilgrimage,Summer,Group
Medium,18-25,Rishikesh,Uttarakhand,Urban,4.8,Water Sports,Spring,Family
Low,26-35,Varanasi,Uttar Pradesh,Hill Station,2.9,Sightseeing,Summer,Solo
Medium,18-25,Delhi,Delhi,Adventure,2.1,Relaxation,Winter,Family
High,18-25,Hyderabad,Telangana,Spiritual,3.4,Water Sports,Winter,Family
High,18-25,Goa,Goa,Beach,2.5,Sightseeing,Monsoon,Friends
Medium,50+,Udaipur,Rajasthan,Beach,2.3,Relaxation,Winter,Solo
Medium,50+,Ooty,Tamil Nadu,Hill Station,3.6,Water Sports,Winter,Family
High,18-25,Andaman,Andaman & Nicobar,Heritage,4.7,Wildlife,Spring,Friends
High,36-50,Leh,Ladakh,Heritage,4.4,Wildlife,Spring,Family
Low,26-35,Darjeeling,West Bengal,Spiritual,2.1,Sightseeing,Summer,Solo
Low,18-25,Rishikesh,Uttarakhand,Spiritual,4.2,Relaxation,Summer,Friends
Medium,18-25,Darjeeling,West Bengal,Heritage,2.3,Relaxation,Monsoon,Family
Low,50+,Mysore,Karnataka,Spiritual,2.5,Wildlife,Autumn,Friends
Low,26-35,Ooty,Tamil Nadu,Adventure,4.7,Pilgrimage,Summer,Group
Medium,26-35,Agra,Uttar Pradesh,Hill Station,4.7,Pilgrimage,Winter,Family
Low,50+,Varanasi,Uttar Pradesh,Spiritual,2.1,Trekking,Summer,Group
Low,36-50,Mysore,Karnataka,Heritage,1.7,Sightseeing,Summer,Family
High,50+,Mussoorie,Uttarakhand,Urban,2.5,Water Sports,Autumn,Family
Low,26-35,Bangalore,Karnataka,Hill Station,3.5,Sightseeing,Autumn,Solo
Low,36-50,Hyderabad,Telangana,Heritage,0.8,Wildlife,Summer,Solo
Medium,18-25,Shimla,Himachal Pradesh,Heritage,3.0,Relaxation,Summer,Solo
Low,50+,Darjeeling,West Bengal,Hill Station,2.5,Water Sports,Spring,Couple
Low,50+,Rishikesh,Uttarakhand,Adventure,1.6,Wildlife,Summer,Group
Low,36-50,Shimla,Himachal Pradesh,Hill Station,4.3,Wildlife,Monsoon,Friends
Medium,36-50,Varanasi,Uttar Pradesh,Beach,4.3,Water Sports,Summer,Solo
High,50+,Rishikesh,Uttarakhand,Hill Station,2.3,Trekking,Monsoon,Solo
Medium,18-25,Bangalore,Karnataka,Hill Station,2.0,Wildlife,Spring,Friends
Medium,36-50,Mussoorie,Uttarakhand,Heritage,2.0,Water Sports,Summer,Couple
Low,36-50,Delhi,Delhi,Beach,3.1,Wildlife,Summer,Family
High,36-50,Udaipur,Rajasthan,Spiritual,2.4,Sightseeing,Autumn,Family
Low,50+,Mysore,Karnataka,Heritage,3.3,Trekking,Summer,Group
High,26-35,Varanasi,Uttar Pradesh,Spiritual,2.8,Wildlife,Monsoon,Group
